#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 132  0.2151175540662E-05  0.2088306637873E-05  0.2378765845814E-05  0.2669225053756E-05
 133  0.2126768499206E-05  0.2063669282413E-05  0.2350662723475E-05  0.2637656164538E-05
 134  0.2099129305929E-05  0.2039997817098E-05  0.2324755541664E-05  0.2609513266230E-05
 135  0.2064448014968E-05  0.2015397901914E-05  0.2295483669717E-05  0.2575569437519E-05
 136  0.2031537127001E-05  0.1987036624219E-05  0.2262679411926E-05  0.2538322199634E-05
 137  0.2005820404832E-05  0.1959855882012E-05  0.2230340270512E-05  0.2500824659013E-05
 138  0.1981550520288E-05  0.1937554966498E-05  0.2202276523693E-05  0.2466998080889E-05
 139  0.1952726398309E-05  0.1913447752185E-05  0.2177483592982E-05  0.2441519433778E-05
 140  0.1920846069324E-05  0.1888195008177E-05  0.2151661350032E-05  0.2415127691887E-05
 141  0.1890997594003E-05  0.1864224906974E-05  0.2122773266513E-05  0.2381321626053E-05
 142  0.1865787947103E-05  0.1841417218482E-05  0.2094044912135E-05  0.2346672605788E-05
 143  0.1843985506321E-05  0.1819352703335E-05  0.2069023606259E-05  0.2318694509183E-05
 144  0.1822893558198E-05  0.1797478488306E-05  0.2046787792192E-05  0.2296097096079E-05
 145  0.1801140232008E-05  0.1774876189712E-05  0.2023542345711E-05  0.2272208501709E-05
 146  0.1778094256065E-05  0.1752146667063E-05  0.1997692436648E-05  0.2243238206234E-05
 147  0.1751908393939E-05  0.1729931331715E-05  0.1971019683959E-05  0.2212108036204E-05
 148  0.1722143147973E-05  0.1707224305985E-05  0.1945827808241E-05  0.2184431310497E-05
 149  0.1693974475704E-05  0.1685501791301E-05  0.1922992621338E-05  0.2160483451375E-05
 150  0.1673269817083E-05  0.1664878212741E-05  0.1901712362502E-05  0.2138546512262E-05
 151  0.1656454157763E-05  0.1646308251693E-05  0.1879217083705E-05  0.2112125915716E-05
 152  0.1635563374248E-05  0.1627429148597E-05  0.1854160371558E-05  0.2080891594520E-05
 153  0.1610590721440E-05  0.1606384182271E-05  0.1830058489276E-05  0.2053732796280E-05
 154  0.1588525872213E-05  0.1587880291852E-05  0.1810432200013E-05  0.2032984108174E-05
 155  0.1570981346338E-05  0.1571526051381E-05  0.1792491216607E-05  0.2013456381832E-05
 156  0.1552804901148E-05  0.1555257530052E-05  0.1771337872677E-05  0.1987418215302E-05
