#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 121  0.2573307323019E-05  0.2370151859368E-05  0.2643525774564E-05  0.2916899689760E-05
 122  0.2534954756703E-05  0.2341388568519E-05  0.2606032912674E-05  0.2870677256829E-05
 123  0.2498451744937E-05  0.2317934093422E-05  0.2578435140166E-05  0.2838936186910E-05
 124  0.2452550273344E-05  0.2279346034592E-05  0.2535376083515E-05  0.2791406132438E-05
 125  0.2405223926972E-05  0.2232791367484E-05  0.2484772494527E-05  0.2736753621571E-05
 126  0.2364511855020E-05  0.2189606143330E-05  0.2436820217554E-05  0.2684034291778E-05
 127  0.2327349482427E-05  0.2168507645386E-05  0.2413164477650E-05  0.2657821309914E-05
 128  0.2291770468188E-05  0.2148107977386E-05  0.2390465617169E-05  0.2632823256951E-05
 129  0.2258080800489E-05  0.2111259662415E-05  0.2352402753092E-05  0.2593545843770E-05
 130  0.2221964410375E-05  0.2073562922211E-05  0.2308755494533E-05  0.2543948066856E-05
 131  0.2183270232840E-05  0.2053833953974E-05  0.2289907242723E-05  0.2525980531473E-05
 132  0.2151175540662E-05  0.2015624710321E-05  0.2245877659430E-05  0.2476130608538E-05
 133  0.2126768499206E-05  0.1999958103932E-05  0.2231151074908E-05  0.2462344045883E-05
 134  0.2099129305929E-05  0.1969862535975E-05  0.2198719357335E-05  0.2427576178695E-05
 135  0.2064448014968E-05  0.1948533171624E-05  0.2172120457829E-05  0.2395707744033E-05
 136  0.2031537127001E-05  0.1915542328846E-05  0.2133973205707E-05  0.2352404082568E-05
 137  0.2005820404832E-05  0.1895009621992E-05  0.2112576445239E-05  0.2330143268486E-05
 138  0.1981550520288E-05  0.1868164691451E-05  0.2077227888277E-05  0.2286291085103E-05
 139  0.1952726398309E-05  0.1844944364536E-05  0.2053477404018E-05  0.2262010443500E-05
 140  0.1920846069324E-05  0.1816033742975E-05  0.2023055993906E-05  0.2230078244837E-05
 141  0.1890997594003E-05  0.1795317968066E-05  0.2000803030160E-05  0.2206288092254E-05
 142  0.1865787947103E-05  0.1764712383314E-05  0.1960857547163E-05  0.2157002711012E-05
 143  0.1843985506321E-05  0.1755750219122E-05  0.1954155048486E-05  0.2152559877849E-05
 144  0.1822893558198E-05  0.1746252169348E-05  0.1946175154172E-05  0.2146098138997E-05
 145  0.1801140232008E-05  0.1717130861509E-05  0.1914735761079E-05  0.2112340660649E-05
 146  0.1778094256065E-05  0.1705476658622E-05  0.1906982164847E-05  0.2108487671071E-05
 147  0.1751908393939E-05  0.1671672783827E-05  0.1861715461667E-05  0.2051758139507E-05
 148  0.1722143147973E-05  0.1645885405752E-05  0.1831323668209E-05  0.2016761930666E-05
 149  0.1693974475704E-05  0.1638018985025E-05  0.1827254512924E-05  0.2016490040823E-05
 150  0.1673269817083E-05  0.1619633624611E-05  0.1810554349076E-05  0.2001475073542E-05
 151  0.1656454157763E-05  0.1605837827745E-05  0.1796303906332E-05  0.1986769984919E-05
 152  0.1635563374248E-05  0.1594016756152E-05  0.1786098447665E-05  0.1978180139179E-05
 153  0.1610590721440E-05  0.1577944186500E-05  0.1768863150157E-05  0.1959782113814E-05
 154  0.1588525872213E-05  0.1546856016896E-05  0.1729336425642E-05  0.1911816834389E-05
 155  0.1570981346338E-05  0.1528005543588E-05  0.1707529348092E-05  0.1887053152597E-05
 156  0.1552804901148E-05  0.1535134906419E-05  0.1721605213728E-05  0.1908075521037E-05
 157  0.1531814375872E-05  0.1500211900173E-05  0.1677018197109E-05  0.1853824494045E-05
 158  0.1511645423371E-05  0.1477055974388E-05  0.1647915137398E-05  0.1818774300409E-05
 159  0.1494825718743E-05  0.1475300868270E-05  0.1663136819472E-05  0.1850972770673E-05
 160  0.1480197191780E-05  0.1461757421565E-05  0.1636258620822E-05  0.1810759820079E-05
 161  0.1465441798806E-05  0.1462348118702E-05  0.1639141028952E-05  0.1815933939201E-05
 162  0.1448254473871E-05  0.1432751664519E-05  0.1614145421027E-05  0.1795539177535E-05
 163  0.1426711086961E-05  0.1433903081611E-05  0.1611723875259E-05  0.1789544668907E-05
 164  0.1403601580936E-05  0.1411393699768E-05  0.1593645093732E-05  0.1775896487695E-05
 165  0.1386420206537E-05  0.1405700687785E-05  0.1585389764619E-05  0.1765078841453E-05
 166  0.1377056569711E-05  0.1389572272385E-05  0.1559179580706E-05  0.1728786889028E-05
 167  0.1366411084321E-05  0.1381219711165E-05  0.1562150127153E-05  0.1743080543141E-05
 168  0.1346486894695E-05  0.1360111607999E-05  0.1524716606841E-05  0.1689321605684E-05
 169  0.1322745183615E-05  0.1337446747176E-05  0.1505391002699E-05  0.1673335258222E-05
 170  0.1305959147602E-05  0.1347857221130E-05  0.1535495574011E-05  0.1723133926892E-05
 171  0.1296674653778E-05  0.1340743332455E-05  0.1524532643590E-05  0.1708321954726E-05
 172  0.1285745882883E-05  0.1314582542546E-05  0.1492153877870E-05  0.1669725213193E-05
 173  0.1267475229023E-05  0.1306347622273E-05  0.1484474478428E-05  0.1662601334582E-05
 174  0.1246051250379E-05  0.1294439940108E-05  0.1479104192316E-05  0.1663768444523E-05
 175  0.1229129349266E-05  0.1270624432639E-05  0.1453313263128E-05  0.1636002093618E-05
 176  0.1217960114404E-05  0.1283204516581E-05  0.1463126033754E-05  0.1643047550927E-05
 177  0.1207001826106E-05  0.1273201081548E-05  0.1453159338332E-05  0.1633117595116E-05
 178  0.1193332675240E-05  0.1258390919408E-05  0.1437441412147E-05  0.1616491904886E-05
 179  0.1179929344387E-05  0.1247843599001E-05  0.1418597270582E-05  0.1589350942164E-05
 180  0.1167925920681E-05  0.1247548154245E-05  0.1412605712815E-05  0.1577663271385E-05
 181  0.1154142496377E-05  0.1235235209764E-05  0.1406836572359E-05  0.1578437934953E-05
 182  0.1138205720998E-05  0.1223417540450E-05  0.1379204657196E-05  0.1534991773943E-05
 183  0.1123813142894E-05  0.1213969228704E-05  0.1383700955586E-05  0.1553432682467E-05
 184  0.1112372816990E-05  0.1227088009834E-05  0.1420975743072E-05  0.1614863476311E-05
 185  0.1102128620534E-05  0.1212477019195E-05  0.1401287858116E-05  0.1590098697037E-05
 186  0.1091936620939E-05  0.1179835371342E-05  0.1361652490173E-05  0.1543469609004E-05
 187  0.1081487354708E-05  0.1162911171982E-05  0.1332514644363E-05  0.1502118116745E-05
 188  0.1070188651115E-05  0.1173396893794E-05  0.1339373637638E-05  0.1505350381482E-05
 189  0.1058287417876E-05  0.1142465931002E-05  0.1290289832006E-05  0.1438113733011E-05
 190  0.1046794423313E-05  0.1140694705847E-05  0.1289129259967E-05  0.1437563814087E-05
 191  0.1035382823304E-05  0.1111050834419E-05  0.1269410781537E-05  0.1427770728656E-05
 192  0.1022263684062E-05  0.1122118228053E-05  0.1279298742451E-05  0.1436479256850E-05
 193  0.1007297269716E-05  0.1133970956194E-05  0.1280992376360E-05  0.1428013796527E-05
 194  0.9939240469882E-06  0.1081411058853E-05  0.1220146096236E-05  0.1358881133619E-05
 195  0.9854009895163E-06  0.1102525680950E-05  0.1251328506446E-05  0.1400131331942E-05
 196  0.9794515457686E-06  0.1078342363381E-05  0.1222387063867E-05  0.1366431764353E-05
 197  0.9706150524885E-06  0.1081477297737E-05  0.1233538077772E-05  0.1385598857807E-05
 198  0.9579614001306E-06  0.1069260033213E-05  0.1209309493682E-05  0.1349358954150E-05
