#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 123  0.2498451744937E-05  0.2235468666798E-05  0.2496634901591E-05  0.2757801136384E-05
 124  0.2452550273344E-05  0.2199839266964E-05  0.2455481277323E-05  0.2711123287683E-05
 125  0.2405223926972E-05  0.2161956270705E-05  0.2414834501303E-05  0.2667712731901E-05
 126  0.2364511855020E-05  0.2128612426847E-05  0.2378695800534E-05  0.2628779174221E-05
 127  0.2327349482427E-05  0.2094866456287E-05  0.2340857874431E-05  0.2586849292576E-05
 128  0.2291770468188E-05  0.2062916810020E-05  0.2302777867366E-05  0.2542638924711E-05
 129  0.2258080800489E-05  0.2036157563094E-05  0.2271730521960E-05  0.2507303480826E-05
 130  0.2221964410375E-05  0.2007747984798E-05  0.2242541474456E-05  0.2477334964115E-05
 131  0.2183270232840E-05  0.1974909786127E-05  0.2206954408947E-05  0.2438999031766E-05
 132  0.2151175540662E-05  0.1940141827456E-05  0.2169862306919E-05  0.2399582786382E-05
 133  0.2126768499206E-05  0.1914420172095E-05  0.2138836340616E-05  0.2363252509137E-05
 134  0.2099129305929E-05  0.1894716918768E-05  0.2111724383099E-05  0.2328731847430E-05
 135  0.2064448014968E-05  0.1869047554268E-05  0.2082908558794E-05  0.2296769563320E-05
 136  0.2031537127001E-05  0.1840363114663E-05  0.2051795046536E-05  0.2263226978409E-05
 137  0.2005820404832E-05  0.1811672891680E-05  0.2020164201349E-05  0.2228655511018E-05
 138  0.1981550520288E-05  0.1785749996776E-05  0.1990065651844E-05  0.2194381306913E-05
 139  0.1952726398309E-05  0.1763038619391E-05  0.1962480968320E-05  0.2161923317248E-05
 140  0.1920846069324E-05  0.1739053714464E-05  0.1935993891188E-05  0.2132934067912E-05
 141  0.1890997594003E-05  0.1713952919787E-05  0.1908032155949E-05  0.2102111392111E-05
 142  0.1865787947103E-05  0.1689089734176E-05  0.1879266195219E-05  0.2069442656262E-05
 143  0.1843985506321E-05  0.1666705594163E-05  0.1853122185723E-05  0.2039538777282E-05
 144  0.1822893558198E-05  0.1645900731351E-05  0.1830143003073E-05  0.2014385274796E-05
 145  0.1801140232008E-05  0.1623925813060E-05  0.1807370912509E-05  0.1990816011958E-05
 146  0.1778094256065E-05  0.1601147732158E-05  0.1782837026954E-05  0.1964526321751E-05
 147  0.1751908393939E-05  0.1578850891654E-05  0.1757103787050E-05  0.1935356682446E-05
 148  0.1722143147973E-05  0.1556087707696E-05  0.1730906931591E-05  0.1905726155487E-05
 149  0.1693974475704E-05  0.1533072773296E-05  0.1705297482738E-05  0.1877522192179E-05
 150  0.1673269817083E-05  0.1511970067505E-05  0.1682349494905E-05  0.1852728922304E-05
 151  0.1656454157763E-05  0.1494601538605E-05  0.1662216701466E-05  0.1829831864326E-05
 152  0.1635563374248E-05  0.1478672856909E-05  0.1642401859989E-05  0.1806130863070E-05
 153  0.1610590721440E-05  0.1460890833321E-05  0.1621375683053E-05  0.1781860532784E-05
 154  0.1588525872213E-05  0.1441510949969E-05  0.1600516244397E-05  0.1759521538826E-05
 155  0.1570981346338E-05  0.1422259857726E-05  0.1580820355782E-05  0.1739380853838E-05
 156  0.1552804901148E-05  0.1406175449048E-05  0.1561148472913E-05  0.1716121496778E-05
 157  0.1531814375872E-05  0.1389492383999E-05  0.1540900925197E-05  0.1692309466394E-05
 158  0.1511645423371E-05  0.1371767687714E-05  0.1521235169915E-05  0.1670702652116E-05
 159  0.1494825718743E-05  0.1354279570431E-05  0.1502499904134E-05  0.1650720237836E-05
 160  0.1480197191780E-05  0.1336020759127E-05  0.1483380866284E-05  0.1630740973440E-05
 161  0.1465441798806E-05  0.1318824321970E-05  0.1463809413897E-05  0.1608794505825E-05
 162  0.1448254473871E-05  0.1302200278197E-05  0.1445332474179E-05  0.1588464670161E-05
 163  0.1426711086961E-05  0.1286599891217E-05  0.1427435724928E-05  0.1568271558639E-05
 164  0.1403601580936E-05  0.1269950902086E-05  0.1407926737374E-05  0.1545902572662E-05
 165  0.1386420206537E-05  0.1251757985227E-05  0.1387932794588E-05  0.1524107603948E-05
 166  0.1377056569711E-05  0.1236679634169E-05  0.1371178108328E-05  0.1505676582487E-05
 167  0.1366411084321E-05  0.1224711610659E-05  0.1357435962322E-05  0.1490160313985E-05
