#
#  k,  E_varmin,  E - E_var,  E,  E + E_var
# averaged of total time steps of =    8000000
 214  0.8112227518573E-06  0.1808726964359E-05  0.3092361882379E-05  0.4375996800398E-05
 215  0.8012576445650E-06  0.1812847442772E-05  0.3113640255482E-05  0.4414433068192E-05
 216  0.7911755510264E-06  0.1818738026766E-05  0.3137452644473E-05  0.4456167262180E-05
 217  0.7827360906721E-06  0.1824051246173E-05  0.3161208473302E-05  0.4498365700432E-05
 218  0.7761177713707E-06  0.1828509979310E-05  0.3183110108270E-05  0.4537710237229E-05
 219  0.7697105061235E-06  0.1834133589988E-05  0.3204928331954E-05  0.4575723073921E-05
 220  0.7622935931909E-06  0.1839718309044E-05  0.3228076736709E-05  0.4616435164375E-05
 221  0.7545509113847E-06  0.1845243662761E-05  0.3251902596895E-05  0.4658561531028E-05
 222  0.7474840996058E-06  0.1853002691111E-05  0.3276169968644E-05  0.4699337246177E-05
 223  0.7405227233171E-06  0.1862575145860E-05  0.3301723377425E-05  0.4740871608991E-05
 224  0.7328911486159E-06  0.1870494669599E-05  0.3327571086595E-05  0.4784647503592E-05
 225  0.7254385193683E-06  0.1875079010059E-05  0.3352265649609E-05  0.4829452289158E-05
 226  0.7189634810679E-06  0.1879821625107E-05  0.3377144734604E-05  0.4874467844100E-05
 227  0.7123687650979E-06  0.1888128849622E-05  0.3405351156811E-05  0.4922573464000E-05
 228  0.7046158872189E-06  0.1898257133949E-05  0.3436410376151E-05  0.4974563618354E-05
 229  0.6967635463056E-06  0.1907039559196E-05  0.3466419224376E-05  0.5025798889556E-05
 230  0.6899281796149E-06  0.1914096386487E-05  0.3494066683515E-05  0.5074036980542E-05
 231  0.6832161597775E-06  0.1921096898344E-05  0.3523380964181E-05  0.5125665030018E-05
 232  0.6755717769991E-06  0.1930185716350E-05  0.3557394205138E-05  0.5184602693925E-05
 233  0.6677148497816E-06  0.1941176849225E-05  0.3593585474177E-05  0.5245994099129E-05
 234  0.6605082965813E-06  0.1952199338425E-05  0.3628438465059E-05  0.5304677591693E-05
 235  0.6532475325081E-06  0.1962349913980E-05  0.3663273739509E-05  0.5364197565038E-05
 236  0.6454739912725E-06  0.1970135812790E-05  0.3701241348299E-05  0.5432346883807E-05
 237  0.6386913366534E-06  0.1978489716811E-05  0.3742417111405E-05  0.5506344506000E-05
 238  0.6339158677686E-06  0.1991169041367E-05  0.3785174546720E-05  0.5579180052073E-05
 239  0.6293550563581E-06  0.2005244006813E-05  0.3829117586409E-05  0.5652991166006E-05
 240  0.6231441482452E-06  0.2017996130497E-05  0.3873389093527E-05  0.5728782056557E-05
 241  0.6164625826724E-06  0.2032004809540E-05  0.3918992662338E-05  0.5805980515136E-05
 242  0.6111245665561E-06  0.2053283974710E-05  0.3974514342927E-05  0.5895744711144E-05
 243  0.6062185313410E-06  0.2082941367381E-05  0.4047166265817E-05  0.6011391164254E-05
 244  0.5999825513311E-06  0.2111454020369E-05  0.4125598400040E-05  0.6139742779710E-05
 245  0.5929356849128E-06  0.2132764262837E-05  0.4193920363781E-05  0.6255076464725E-05
 246  0.5866034324740E-06  0.2158496846467E-05  0.4266782880665E-05  0.6375068914863E-05
 247  0.5809024384660E-06  0.2202898386605E-05  0.4378675149337E-05  0.6554451912070E-05
 248  0.5748564361725E-06  0.2258539664468E-05  0.4524232025481E-05  0.6789924386494E-05
 249  0.5686808293039E-06  0.2305040620094E-05  0.4658042564029E-05  0.7011044507963E-05
 250  0.5632346668328E-06  0.2345561560716E-05  0.4790739111281E-05  0.7235916661845E-05
 251  0.5581532909063E-06  0.2415792619125E-05  0.5038849956752E-05  0.7661907294378E-05
 252  0.5523293863018E-06  0.2538967395758E-05  0.5494044822098E-05  0.8449122248438E-05
